Name,Type,Foundation,Price,Size,Length,Width,Bedrooms,Bathrooms,Lofts,Misc,Location,Link,City,State,Country,Days on site,Number of views,Times dreamlisted
Fully Remodeled Tiny House on Wheels,Tiny House,Mobile,20000,90.0,7.5,12.0,1,1,0,Used,"Miami, Florida, United States",https://tinyhouselistings.com/listings/fully-remodeled-tiny-house-on-wheels,Miami,Florida,United States,35,0,130.0
Away We Go- 16' Modern Tiny House,Tiny House,Mobile,32000,136.0,16.0,8.5,1,1,1,New,"Crystal River, Florida, United States",https://tinyhouselistings.com/listings/away-we-go-16-modern-tiny-house,Crystal River,Florida,United States,35,0,90.0
Denver Unit,Container Home,Stationary,79900,240.0,30.0,8.0,1,1,0,New,"Las Vegas , Nevada, United States",https://tinyhouselistings.com/listings/denver-unit,Las Vegas ,Nevada,United States,36,0,57.0
12x32 Premier Lofted Barn Cabin (Mahogany & White trim and roof),Cabin,Stationary,24000,384.0,32.0,12.0,1,0,2,New,"Pine River, Wisconsin, United States",https://tinyhouselistings.com/listings/12x32-premier-lofted-barn-cabin-mahogany-white-trim-and-roof,Pine River,Wisconsin,United States,36,0,82.0
1 bed/1 bath Tiny House - 164 total sf by StouderHouse,Tiny House,Mobile,54974,128.0,16.0,8.0,1,1,1,Delivery Available,"Salado, Texas, United States",https://tinyhouselistings.com/listings/1-bed-1-bath-tiny-house-164-total-sf-by-stouderhouse,Salado,Texas,United States,36,0,32.0
Rustic Colorado,Tiny House,Mobile,64000,365.0,38.0,12.0,1,1,1,Used,"Guffey, Colorado, United States",https://tinyhouselistings.com/listings/rustic-colorado,Guffey,Colorado,United States,35,0,95.0
Brand new 25' Park Model,Tiny House,Mobile,30500,187.0,25.0,7.5,1,1,0,New,"Salem, Oregon, United States",https://tinyhouselistings.com/listings/brand-new-25-park-model,Salem,Oregon,United States,36,0,27.0
Castle Tree House,Container Home,Stationary,58500,160.0,20.0,8.0,0,1,0,New,"Las Vegas , Nevada, United States",https://tinyhouselistings.com/listings/castle-tree-house,Las Vegas ,Nevada,United States,36,0,30.0
Gray's Unit,Container Home,Mobile,58900,160.0,20.0,8.0,1,1,0,Delivery Available,"Las Vegas, Nevada, United States",https://tinyhouselistings.com/listings/gray-s-unit,Las Vegas,Nevada,United States,36,0,68.0
Two-story CABIN (HUNTING LOUNGE)_German style_Post & Beam,Cabin,Mobile,10000,400.0,20.0,10.0,1,0,1,Used,"Woodruff, South Carolina, United States",https://tinyhouselistings.com/listings/two-story-cabin-hunting-lounge-_german-style_post-beam,Woodruff,South Carolina,United States,37,0,34.0
Learning Pod / Study Pod - Can be easily converted into a Tiny Home,Tiny House,Stationary,15000,96.0,12.0,8.0,0,0,0,New,"Lakewood, Colorado, United States",https://tinyhouselistings.com/listings/learning-pod-study-pod-can-be-easily-converted-into-a-tiny-home,Lakewood,Colorado,United States,37,0,28.0
24 Foot Tiny House on Wheels,Tiny House,Mobile,60000,190.0,24.0,8.5,1,1,1,Square Feet,"GAINESVILLE, Florida, United States",https://tinyhouselistings.com/listings/24-foot-tiny-house-on-wheels-tiny_house-purchase,GAINESVILLE,Florida,United States,39,0,50.0
Rustic and Charming 26' Tiny House,Tiny House,Mobile,62500,208.0,26.0,8.0,1,1,2,Used,"Indian Hills, Colorado, United States",https://tinyhouselistings.com/listings/rustic,Indian Hills,Colorado,United States,38,0,24.0
Self-Built Eco-Conscious Tiny Home on Wheels,Tiny House,Mobile,33250,180.0,24.0,8.5,1,1,1,Used,"Bloomington, Indiana, United States",https://tinyhouselistings.com/listings/self-built-eco-conscious-tiny-home-on-wheels-tiny_house-mobile,Bloomington,Indiana,United States,40,0,76.0
